geography_code,crime_sum_2021
E01001420,80
E01001421,52
E01001422,53
E01001423,149
E01001424,81
E01001425,293
E01001426,163
E01001427,327
E01001428,151
E01001429,817
E01001430,147
E01001431,133
E01001432,237
E01001433,150
E01001434,132
E01001435,82
E01001436,115
E01001437,314
E01001438,152
E01001439,314
E01001440,155
E01001441,160
E01001442,178
E01001444,151
E01001445,272
E01001446,94
E01001447,189
E01001448,143
E01001449,118
E01001450,574
E01001451,143
E01001452,43
E01001453,53
E01001454,61
E01001455,78
E01001456,64
E01001457,80
E01001458,194
E01001459,136
E01001460,178
E01001461,138
E01001462,108
E01001463,80
E01001464,76
E01001465,173
E01001466,131
E01001467,92
E01001468,334
E01001469,69
E01001470,77
E01001471,94
E01001472,90
E01001473,65
E01001474,69
E01001475,51
E01001476,128
E01001477,142
E01001478,117
E01001479,164
E01001480,106
E01001481,82
E01001482,124
E01001483,159
E01001484,140
E01001485,158
E01001486,203
E01001487,159
E01001488,126
E01001489,200
E01001491,187
E01001492,118
E01001493,75
E01001494,91
E01001495,124
E01001496,89
E01001497,96
E01001498,401
E01001499,115
E01001500,120
E01001501,238
E01001502,229
E01001503,184
E01001504,108
E01001505,139
E01001506,248
E01001507,405
E01001508,233
E01001509,167
E01001510,107
E01001511,230
E01001512,209
E01001513,490
E01001514,115
E01001515,179
E01001516,201
E01001517,146
E01001518,154
E01001519,318
E01001520,99
E01001521,57
E01001522,93
E01001523,79
E01001524,80
E01001525,90
E01001526,43
E01001527,113
E01001528,151
E01001529,137
E01001530,92
E01001531,42
E01001532,88
E01001533,71
E01001534,169
E01001535,98
E01001536,367
E01001537,94
E01001538,44
E01001539,76
E01001540,164
E01001541,48
E01001542,87
E01001543,63
E01001544,133
E01001545,127
E01001546,112
E01001547,182
E01001548,156
E01001549,199
E01001550,99
E01001551,215
E01001552,195
E01001553,133
E01001554,296
E01001555,213
E01001556,102
E01001557,126
E01001558,432
E01001559,751
E01001560,120
E01001562,162
E01001563,81
E01001564,89
E01001565,60
E01001566,88
E01001567,55
E01001568,92
E01001569,118
E01001570,262
E01001571,104
E01001572,84
E01001573,110
E01001574,160
E01001575,213
E01001576,202
E01001577,166
E01001578,256
E01001579,131
E01001580,182
E01001581,128
E01001582,132
E01001583,79
E01001584,89
E01001585,84
E01001586,70
E01001587,100
E01001588,110
E01001589,192
E01001590,114
E01001591,188
E01001592,102
E01001593,88
E01001594,137
E01001595,136
E01001596,59
E01001597,94
E01001598,57
E01001599,156
E01001600,100
E01001601,48
E01001602,183
E01001603,100
E01001604,99
E01001605,48
E01001606,35
E01001607,91
E01001608,84
E01001609,336
E01001610,66
E01001611,91
E01001613,103
E01001614,122
E01001615,374
E01001617,160
E01001618,129
E01001619,86
E01001620,121
E01001621,113
E01001623,105
E01001624,110
E01001625,132
E01001629,171
E01001631,233
E01001632,129
E01001633,101
E01001634,151
E01001635,83
E01001636,166
E01001637,198
E01001638,125
E01001640,488
E01001641,373
E01001642,163
E01001644,217
E01001645,102
E01001646,267
E01001647,94
E01001648,111
E01001649,109
E01001650,119
E01001651,218
E01001652,174
E01001653,114
E01001654,136
E01001655,152
E01001656,68
E01001657,84
E01001658,82
E01001659,118
E01001660,112
E01001661,188
E01001662,285
E01001664,171
E01001665,182
E01001666,409
E01001667,902
E01001668,227
E01001669,206
E01001671,114
E01001672,154
E01001673,262
E01001674,143
E01001675,259
E01001676,208
E01001677,196
E01001678,79
E01001679,86
E01001680,58
E01001681,57
E01001682,105
E01001683,175
E01001684,68
E01001685,75
E01001686,112
E01001687,226
E01001688,234
E01001690,112
E01001692,82
E01001693,142
E01001694,123
E01001695,128
E01001696,318
E01001697,203
E01001698,168
E01001699,123
E01001700,231
E01001701,425
E01001702,86
E01001703,185
E01001704,112
E01001705,228
E01001706,99
E01001708,104
E01001709,193
E01001710,95
E01001711,104
E01001712,203
E01001713,81
E01001714,213
E01001715,66
E01001716,179
E01001717,75
