geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01002745,Islington,10,10,2,2,,4,6,28,11,34,107
E01003022,Lambeth,7,14,8,2,,1,0,20,16,39,107
E01003078,Lambeth,5,6,5,1,0,4,1,13,41,31,107
E01003168,Lambeth,17,4,2,0,3,8,2,11,9,51,107
E01003179,Lambeth,6,11,12,3,5,6,4,14,4,42,107
E01003283,Lewisham,21,9,4,1,,8,0,13,23,28,107
E01003313,Lewisham,9,5,2,1,1,17,3,11,24,34,107
E01003435,Merton,10,12,9,1,,7,7,12,17,32,107
E01003441,Merton,12,7,6,1,0,12,0,7,13,49,107
E01003552,Newham,14,8,7,2,1,12,1,7,17,38,107
E01003594,Newham,7,11,15,1,1,10,8,5,17,32,107
E01003635,Newham,4,6,13,0,,13,2,19,13,37,107
E01003748,Redbridge,9,4,2,,0,8,4,41,23,16,107
E01003777,Redbridge,9,14,2,1,1,7,,18,41,14,107
E01004013,Southwark,8,12,11,2,4,6,2,20,7,35,107
E01004240,Tower Hamlets,8,8,9,3,2,8,1,7,16,45,107
E01004329,Waltham Forest,11,5,2,2,1,8,1,20,17,40,107
E01004337,Waltham Forest,7,15,11,2,,11,5,10,11,35,107
E01004697,Westminster,9,18,4,2,0,11,4,13,18,28,107
E01004752,Westminster,12,9,1,0,3,9,,20,2,51,107
E01000016,Barking and Dagenham,6,13,12,2,1,6,1,17,15,33,106
E01000100,Barking and Dagenham,10,10,6,3,1,11,5,8,11,41,106
E01000629,Brent,9,9,4,1,3,6,1,6,19,48,106
E01001265,Ealing,8,8,6,1,0,3,2,13,27,38,106
E01001480,Enfield,6,16,1,4,0,7,2,16,18,36,106
E01001769,Hackney,12,9,7,0,1,8,5,22,12,30,106
E01001789,Hackney,7,9,6,1,0,8,1,16,26,32,106
E01001885,Hammersmith and Fulham,13,4,5,3,1,10,0,17,9,44,106
E01002015,Haringey,4,6,7,1,1,8,7,12,19,41,106
E01002064,Haringey,6,9,8,3,1,4,6,15,20,34,106
E01002184,Harrow,8,6,23,2,0,5,2,8,18,34,106
E01002403,Hillingdon,4,3,2,3,2,9,1,11,20,51,106
E01002575,Hounslow,8,17,2,1,2,5,0,19,37,15,106
E01002581,Hounslow,4,13,5,,1,5,1,17,24,36,106
E01002635,Hounslow,8,9,8,1,,6,2,27,14,31,106
E01002718,Islington,4,17,5,1,1,4,4,28,17,25,106
E01003060,Lambeth,5,14,17,2,2,9,4,14,3,36,106
E01003151,Lambeth,6,11,7,3,2,7,6,13,13,38,106
E01003275,Lewisham,9,9,12,6,2,11,2,11,1,43,106
E01003316,Lewisham,4,9,7,0,,5,2,19,33,27,106
E01003350,Lewisham,6,8,9,3,1,4,3,9,25,38,106
E01003415,Merton,12,4,4,1,,14,2,8,7,54,106
